2019-10-02 12:23:46,969: Key.caps_lock
2019-10-02 12:23:48,154: Key.caps_lock
2019-10-02 12:23:49,343: Key.caps_lock
2019-10-02 12:23:50,100: Key.caps_lock
2019-10-02 12:23:50,726: Key.caps_lock
2019-10-02 12:23:51,339: Key.caps_lock
2019-10-02 12:23:51,536: Key.caps_lock
2019-10-02 12:23:51,729: Key.caps_lock
2019-10-02 12:23:51,955: Key.caps_lock
2019-10-02 12:23:52,144: Key.caps_lock
2019-10-02 12:23:52,343: Key.caps_lock
2019-10-02 12:23:52,536: Key.caps_lock
2019-10-02 12:23:52,732: Key.caps_lock
2019-10-02 12:23:52,922: Key.caps_lock
2019-10-02 12:23:53,127: Key.caps_lock
2019-10-02 12:23:53,319: Key.caps_lock
2019-10-02 12:23:53,530: Key.caps_lock
2019-10-02 12:23:53,704: Key.caps_lock
2019-10-02 12:23:54,242: Key.esc
2019-10-02 12:24:38,895: 'w'
2019-10-02 12:24:40,194: 'a'
2019-10-02 12:24:40,472: 's'
2019-10-02 12:24:40,810: 'd'
2019-10-02 12:24:41,370: 'w'
2019-10-02 12:24:41,964: 's'
2019-10-02 12:24:42,161: 's'
2019-10-02 12:24:42,448: 'a'
2019-10-02 12:24:43,421: 'w'
2019-10-02 12:24:44,152: Key.caps_lock
2019-10-02 12:24:44,460: Key.caps_lock
2019-10-02 12:24:44,810: Key.caps_lock
2019-10-02 12:24:45,584: Key.esc
